Gene_name,GENE_ID,TB_HIGH1,TB_HIGH2,TB_HIGH3,TB_LOW1,TB_LOW2,TB_LOW3,TB_AM1,TB_AM2,TB_AM3,TB_IM1,TB_IM2,TB_IM3
DnaA,Rv0001,139.5949046,134.472426,131.4025462,103.5216583,88.91379592,135.4169417,299.7222145,165.3019843,180.6103577,182.3343059,176.6220259,191.183854
DnaN,Rv0002,37.78508695,136.0360589,59.16956758,64.25482239,111.4950774,44.05129428,155.8027371,75.7862918,64.71871152,68.8818489,61.67753284,74.03289664
RecF,Rv0003,34.6363297,100.0725031,88.3701334,96.38223358,79.03448526,22.84141185,60.07647912,110.9335576,118.1492757,64.82997543,96.25433155,88.6767663
GyrB,Rv0005,1389.651531,956.943311,1511.513499,1290.451016,1450.847337,1439.008947,736.1019145,1240.588646,1082.15706,1124.394886,980.2989689,1291.101175
GyrA,Rv0006,1054.833677,828.7254163,1197.223199,1024.507446,1630.086259,1101.282357,678.0059786,962.1564002,906.8145044,1041.33148,973.7574124,970.5631395
PpiA,Rv0009,109.1569178,73.49074447,83.75951775,146.3582065,90.32512602,158.2583535,205.9764998,102.1467411,148.251002,89.14121622,75.69515394,67.52451012
TrpG,Rv0013,32.53715821,84.4361745,61.47487541,17.84856177,36.69458244,84.83952973,79.8819118,70.29453152,72.24414309,62.8040387,74.76064587,75.65999327
PknB,Rv0014c,109.1569178,78.18164305,132.1709821,78.53367181,249.8054266,207.2042361,186.8312482,153.7692877,204.6917388,180.9836814,166.3424371,173.285791
PknA,Rv0015c,139.5949046,176.6905133,159.8346761,215.9675975,158.0689705,132.1538829,211.9181296,232.8506357,278.4409682,248.5149058,256.9897202,262.7761057
PbpA,Rv0016c,171.082477,214.217702,129.8656743,62.46996621,162.3029608,261.0447069,172.9674454,187.2690254,182.115444,180.3083692,147.6522756,162.7096629
RodA,Rv0017c,74.52058815,90.69070594,92.21231311,73.17910327,88.91379592,132.1538829,155.8027371,152.6709357,147.4984588,137.7636978,97.18883963,113.8967641
FhaB,Rv0019c,60.87597342,37.52718866,52.2536441,53.54568532,118.5517279,0,84.50317942,76.88464385,94.06789465,87.11527949,93.45080733,89.49031462
FhaA,Rv0020c,694.8257655,505.0534141,700.0451437,697.8787654,863.7340175,580.8244728,791.557126,557.962844,638.9091404,703.0000461,624.251393,568.670272
