TF,Gene,Input
Rv0047c,Rv1341,1
Rv0047c,Rv1390,1
Rv0047c,Rv1391,1
Rv0047c,Rv1441c,1
Rv0047c,Rv1442,1
Rv0047c,Rv1474c,1
Rv0047c,Rv1475c,1
Rv0047c,Rv1477,1
Rv0047c,Rv1478,1
Rv0047c,Rv1492,1
Rv0047c,Rv1493,1
Rv0047c,Rv1494,1
Rv0047c,Rv1495,1
Rv0047c,Rv1496,1
Rv0047c,Rv1507c,1
Rv0047c,Rv1509,1
Rv0047c,Rv1519,1
Rv0047c,Rv1520,1
Rv0047c,Rv1521,1
Rv0047c,Rv1532c,1
Rv0047c,Rv1533,1
Rv0047c,Rv1534,1
Rv0047c,Rv1557,1
Rv0047c,Rv1558,1
Rv0047c,Rv1559,1
Rv0047c,Rv1560,1
Rv0047c,Rv1561,1
Rv0047c,Rv1636,1
Rv0047c,Rv1666c,1
Rv0047c,Rv1667c,1
Rv0047c,Rv1668c,1
Rv0047c,Rv1704c,1
Rv0047c,Rv1728c,1
Rv0047c,Rv1729c,1
Rv0047c,Rv1795,1
Rv0047c,Rv1796,1
Rv0047c,Rv1797,1
Rv0047c,Rv1798,1
Rv0047c,Rv1799,1
Rv0047c,Rv1810,1
Rv0047c,Rv1811,1
Rv0047c,Rv1817,1
Rv0047c,Rv1830,1
Rv0047c,Rv1833c,1
Rv0047c,Rv1834,1
Rv0047c,Rv1835c,1
Rv0047c,Rv1836c,1
Rv0047c,Rv1838c,1
Rv0047c,Rv1839c,1
Rv0047c,Rv1841c,1
Rv0047c,Rv1842c,1
Rv0047c,Rv1861,1
Rv0047c,Rv1878,1
Rv0047c,Rv1879,1
Rv0047c,Rv1882c,1
Rv0047c,Rv1883c,1
Rv0047c,Rv1884c,1
Rv0047c,Rv1885c,1
Rv0047c,Rv1886c,1
Rv0047c,Rv1952,1
Rv0047c,Rv1953,1
Rv0047c,Rv1963c,1
Rv0047c,Rv1964,1
Rv0047c,Rv1965,1
Rv0047c,Rv1966,1
Rv0047c,Rv1967,1
Rv0047c,Rv1968,1
Rv0047c,Rv1969,1
Rv0047c,Rv1970,1
Rv0047c,Rv1971,1
Rv0047c,Rv1972,1
Rv0047c,Rv1973,1
Rv0047c,Rv1974,1
Rv0047c,Rv1975,1
Rv0047c,Rv1983,1
Rv0047c,Rv1985c,1
Rv0047c,Rv1989c,1
Rv0047c,Rv2016,1
Rv0047c,Rv2017,1
Rv0047c,Rv2077c,1
Rv0047c,Rv2098c,1
Rv0047c,Rv2099c,1
Rv0047c,Rv2100,1
Rv0047c,Rv2108,1
Rv0047c,Rv2135c,1
Rv0047c,Rv2136c,1
Rv0047c,Rv2137c,1
Rv0047c,Rv2138,1
Rv0047c,Rv2163c,1
Rv0047c,Rv2164c,1
Rv0047c,Rv2165c,1
Rv0047c,Rv2166c,1
Rv0047c,Rv2194,1
Rv0047c,Rv2195,1
Rv0047c,Rv2196,1
Rv0047c,Rv2199c,1
Rv0047c,Rv2200c,1
Rv0047c,Rv2242,1
Rv0047c,Rv2243,1
Rv0047c,Rv2256c,1
Rv0047c,Rv2307A,1
Rv0047c,Rv2319c,1
Rv0047c,Rv2320c,1
Rv0047c,Rv2321c,1
Rv0047c,Rv2322c,1
Rv0047c,Rv2323c,1
Rv0047c,Rv2336,1
Rv0047c,Rv2347c,1
Rv0047c,Rv2409c,1
Rv0047c,Rv2410c,1
Rv0047c,Rv2411c,1
Rv0047c,Rv2416c,1
Rv0047c,Rv2428,1
Rv0047c,Rv2429,1
Rv0047c,Rv2452c,1
Rv0047c,Rv2453c,1
Rv0047c,Rv2454c,1
Rv0047c,Rv2455c,1
Rv0047c,Rv2456c,1
Rv0047c,Rv2457c,1
Rv0047c,Rv2472,1
Rv0047c,Rv2473,1
Rv0047c,Rv2491,1
Rv0047c,Rv2492,1
Rv0047c,Rv2525c,1
Rv0047c,Rv2549c,1
Rv0047c,Rv2550c,1
Rv0047c,Rv2562,1
Rv0047c,Rv2563,1
Rv0047c,Rv2564,1
Rv0047c,Rv2583c,1
Rv0047c,Rv2584c,1
Rv0047c,Rv2597,1
Rv0047c,Rv2598,1
Rv0047c,Rv2599,1
Rv0047c,Rv2675c,1
Rv0047c,Rv2676c,1
Rv0047c,Rv2677c,1
Rv0047c,Rv2678c,1
Rv0047c,Rv2683,1
Rv0047c,Rv2684,1
Rv0047c,Rv2691,1
Rv0047c,Rv2692,1
Rv0047c,Rv2712c,1
Rv0047c,Rv2713,1
Rv0047c,Rv2722,1
Rv0047c,Rv2723,1
Rv0047c,Rv2729c,1
Rv0047c,Rv2730,1
Rv0047c,Rv2731,1
Rv0047c,Rv2742c,1
Rv0047c,Rv2746c,1
Rv0047c,Rv2747,1
Rv0047c,Rv2757c,1
Rv0047c,Rv2758c,1
Rv0047c,Rv2759c,1
Rv0047c,Rv2760c,1
Rv0047c,Rv2761c,1
Rv0047c,Rv2762c,1
Rv0047c,Rv2777c,1
Rv0047c,Rv2786c,1
Rv0047c,Rv2787,1
Rv0047c,Rv2809,1
Rv0047c,Rv2888c,1
Rv0047c,Rv2889c,1
Rv0047c,Rv2890c,1
Rv0047c,Rv2952,1
Rv0047c,Rv2953,1
Rv0047c,Rv2958c,1
Rv0047c,Rv2962c,1
Rv0047c,Rv2963,1
Rv0047c,Rv2971,1
Rv0047c,Rv2999,1
Rv0047c,Rv3007c,1
Rv0047c,Rv3011c,1
Rv0047c,Rv3012c,1
Rv0047c,Rv3013,1
Rv0047c,Rv3028c,1
Rv0047c,Rv3029c,1
Rv0047c,Rv3052c,1
Rv0047c,Rv3053c,1
Rv0047c,Rv3057c,1
Rv0047c,Rv3064c,1
Rv0047c,Rv3110,1
Rv0047c,Rv3111,1
Rv0047c,Rv3112,1
Rv0047c,Rv3124,1
Rv0047c,Rv3136,1
Rv0047c,Rv3142c,1
Rv0047c,Rv3143,1
Rv0047c,Rv3180c,1
Rv0047c,Rv3181c,1
Rv0047c,Rv3198A,1
Rv0047c,Rv3205c,1
Rv0047c,Rv3206c,1
Rv0047c,Rv3221c,1
Rv0047c,Rv3231c,1
Rv0047c,Rv3232c,1
Rv0047c,Rv3233c,1
Rv0047c,Rv3234c,1
Rv0047c,Rv3236c,1
Rv0047c,Rv3237c,1
Rv0047c,Rv3238c,1
Rv0047c,Rv3239c,1
Rv0047c,Rv3249c,1
Rv0047c,Rv3250c,1
Rv0047c,Rv3251c,1
Rv0047c,Rv3252c,1
Rv0047c,Rv3269,1
Rv0047c,Rv3270,1
Rv0047c,Rv3272,1
Rv0047c,Rv3273,1
Rv0047c,Rv3343c,1
Rv0047c,Rv3406,1
Rv0047c,Rv3407,1
Rv0047c,Rv3408,1
Rv0047c,Rv3409c,1
Rv0047c,Rv3413c,1
Rv0047c,Rv3414c,1
Rv0047c,Rv3415c,1
Rv0047c,Rv3416,1
Rv0047c,Rv3419c,1
Rv0047c,Rv3420c,1
Rv0047c,Rv3421c,1
Rv0047c,Rv3422c,1
Rv0047c,Rv3423c,1
Rv0047c,Rv3425,1
Rv0047c,Rv3426,1
Rv0047c,Rv3429,1
Rv0047c,Rv3432c,1
Rv0047c,Rv3433c,1
Rv0047c,Rv3434c,1
Rv0047c,Rv3435c,1
Rv0047c,Rv3441c,1
Rv0047c,Rv3477,1
Rv0047c,Rv3478,1
Rv0047c,Rv3492c,1
Rv0047c,Rv3493c,1
Rv0047c,Rv3494c,1
Rv0047c,Rv3495c,1
Rv0047c,Rv3496c,1
Rv0047c,Rv3497c,1
Rv0047c,Rv3498c,1
Rv0047c,Rv3499c,1
Rv0047c,Rv3500c,1
Rv0047c,Rv3501c,1
Rv0047c,Rv3508,1
Rv0047c,Rv3509c,1
Rv0047c,Rv3510c,1
Rv0047c,Rv3525c,1
Rv0047c,Rv3526,1
Rv0047c,Rv3527,1
Rv0047c,Rv3528c,1
Rv0047c,Rv3534c,1
Rv0047c,Rv3535c,1
Rv0047c,Rv3536c,1
